region,oficina,especie,medida,agente
Magallanes,PORVENIR,Ostión del Sur y Ostión patagónico XII,Tamaño Mínimo Legal (TML),Artesanal
Magallanes,PORVENIR,Otros recursos con VEDA,Vedas,Otros
Magallanes,PORVENIR,Congrio dorado Artesanal XIV-XII,Cuotas,Artesanal
Metropolitana,PUDAHUEL,Erizo X-XI,Cuotas,Comercializadora
Magallanes,PORVENIR,Ostión del sur X-XII,Tamaño Mínimo Legal (TML),Artesanal
Magallanes,PORVENIR,Ostión del sur X-XII,Tamaño Mínimo Legal (TML),Planta_Proceso
Magallanes,PORVENIR,Centolla y Centollón XIV-XII,Vedas,Planta_Proceso
Metropolitana,PUDAHUEL,Merluza común Artesanal IV a 41 28.6 LS,Cuotas,Comercializadora
Magallanes,PORVENIR,Caracol trophon XII,Vedas,Planta_Proceso
Valparaiso,DIRECCION NACIONAL,Anchoveta y Sardina Común Artesanal  V-X,Acceso,Artesanal
Metropolitana,PUDAHUEL,Merluza del Sur Artesanal X-XII,Cuotas,Comercializadora
Magallanes,PORVENIR,Merluza del Sur Artesanal X-XII,Cuotas,Planta_Proceso
Magallanes,PORVENIR,Centolla y Centollón XIV-XII,Tamaño Mínimo Legal (TML),Artesanal
Magallanes,PORVENIR,Centolla y Centollón XIV-XII,Tamaño Mínimo Legal (TML),Planta_Proceso
Magallanes,PUERTO WILLIAMS,Centolla y Centollón XIV-XII,Tamaño Mínimo Legal (TML),Artesanal
Magallanes,PUERTO WILLIAMS,Centolla y Centollón XIV-XII,Tamaño Mínimo Legal (TML),Planta_Proceso
Magallanes,PUERTO WILLIAMS,Centolla y Centollón XIV-XII,Vedas,Artesanal
Magallanes,PUERTO WILLIAMS,Centolla y Centollón XIV-XII,Artes y Aparejos de Pesca,Artesanal
Magallanes,PUERTO WILLIAMS,Centolla y Centollón XIV-XII,Vedas,Planta_Proceso
Metropolitana,PUDAHUEL,Reineta Artesanal XV-XI,Cuotas,Comercializadora
Magallanes,PUERTO WILLIAMS,Centolla y Centollón XIV-XII,Tamaño Mínimo Legal (TML),Industrial
Magallanes,PUERTO WILLIAMS,Caracol trophon XII,Vedas,Planta_Proceso
Magallanes,PUERTO WILLIAMS,Centolla y Centollón XIV-XII,Acceso,Artesanal
Magallanes,PUERTO WILLIAMS,Centolla y Centollón XIV-XII,Vedas,Otros
Magallanes,PORVENIR,Huepo VIII-XII,Tamaño Mínimo Legal (TML),Artesanal
Magallanes,PORVENIR,Centolla y Centollón XIV-XII,Vedas,Comercializadora
Metropolitana,PUDAHUEL,Jurel Artesanal XV-X,Cuotas,Comercializadora
Magallanes,PORVENIR,Erizo XII,Tamaño Mínimo Legal (TML),Artesanal
Magallanes,PUERTO WILLIAMS,Centolla y Centollón XIV-XII,Acceso,Industrial
Magallanes,PORVENIR,Centolla y Centollón XIV-XII,Vedas,Otros
Magallanes,PORVENIR,Centolla y Centollón XIV-XII,Artes y Aparejos de Pesca,Artesanal
Magallanes,PORVENIR,Centolla y Centollón XIV-XII,Acceso,Artesanal
Metropolitana,PUDAHUEL,Congrio dorado Artesanal XIV-XII,Cuotas,Comercializadora
Magallanes,PORVENIR,Loco XII,Vedas,Planta_Proceso
Metropolitana,PUDAHUEL,Loco XV-XI,Cuotas,Comercializadora
Magallanes,PORVENIR,Erizo XII,Vedas,Planta_Proceso
Magallanes,PORVENIR,Centolla y Centollón XIV-XII,Tamaño Mínimo Legal (TML),Industrial
Magallanes,PORVENIR,Centolla y Centollón XIV-XII,Acceso,Industrial
Metropolitana,PUDAHUEL,Jurel Artesanal XV-X,Vedas,Comercializadora
Metropolitana,PUDAHUEL,Choro XV-XII,Vedas,Comercializadora
Magallanes,PORVENIR,Centolla y Centollón XIV-XII,Acceso,Planta_Proceso
Maule,ILOCA,Merluza común Artesanal IV a 41 28.6 LS,Cuotas,Artesanal
Maule,ILOCA,Loco XV-XI,Vedas,Transportista
Maule,ILOCA,Loco XV-XI,Vedas,Artesanal
Maule,ILOCA,Merluza común Artesanal IV a 41 28.6 LS,Acceso,Artesanal
Maule,ILOCA,Loco XV-XI,Vedas,Restaurant
Magallanes,PORVENIR,Centolla y Centollón XIV-XII,Vedas,Industrial
Magallanes,PUERTO NATALES,Centolla y Centollón XIV-XII,Vedas,Artesanal
Magallanes,PUERTO NATALES,Centolla y Centollón XIV-XII,Vedas,Planta_Proceso
Maule,ILOCA,Jaibas XV-XII,Vedas,Artesanal
Magallanes,PUERTO NATALES,Especies Salmonideas Cuerpo de Agua Dulce,Pescar sin lic,Recreativo
Maule,ILOCA,Merluza común Artesanal IV a 41 28.6 LS,Cuotas,Transportista
Magallanes,PUERTO NATALES,Especies Salmonideas Curso de Agua Dulce,Pescar sin lic,Recreativo
Maule,ILOCA,Jurel Artesanal XV-X,Cuotas,Artesanal
Magallanes,PUERTO NATALES,Especies Salmonideas Curso de Agua Dulce,Pescar sin lic,Otros
Magallanes,PUERTO NATALES,Bacalao de profundidad Artesanal 47ºL.S.-XII,Cuotas,Artesanal
Metropolitana,PUDAHUEL,Merluza del Sur Artesanal X-XII,Acceso,Comercializadora
Maule,ILOCA,Loco XV-XI,Vedas,Otros
Maule,ILOCA,Merluza común Artesanal IV a 41 28.6 LS,Cuotas,Otros
Magallanes,PUERTO NATALES,Centolla y Centollón XIV-XII,Vedas,Comercializadora
Maule,ILOCA,Merluza común Artesanal IV a 41 28.6 LS,Vedas,Otros
Araucanía,TEMUCO,Especies Salmonideas Curso de Agua Dulce,Pescar sin lic,Recreativo
Araucanía,TEMUCO,Jaibas XV-XII,Vedas,Artesanal
Maule,ILOCA,Choro XV-XII,Vedas,Artesanal
Magallanes,PUERTO NATALES,Erizo XII,Tamaño Mínimo Legal (TML),Artesanal
Magallanes,PUERTO NATALES,Centolla y Centollón XIV-XII,Artes y Aparejos de Pesca,Industrial
Araucanía,TEMUCO,Especies Salmonideas Cuerpo de Agua Dulce,Pescar sin lic,Recreativo
Magallanes,PUERTO NATALES,Especies Salmonideas Cuerpo de Agua Dulce,Pescar sin lic,Otros
Magallanes,PUERTO NATALES,Centolla y Centollón XIV-XII,Acceso,Industrial
Araucanía,TEMUCO,Peces nativos en Cuerpo de Agua Dulce,Pescar incidentalmente peces nativos protegidos,Recreativo
Magallanes,PUERTO WILLIAMS,Centolla y Centollón XIV-XII,Vedas,Transportista
Magallanes,PORVENIR,Caracol trophon XII,Vedas,Transportista
Metropolitana,PUDAHUEL,Reineta Artesanal XV-XI,Acceso,Comercializadora
Metropolitana,PUDAHUEL,Bacalao de profundidad Artesanal XV-47ºL.S.,Cuotas,Planta_Proceso
Magallanes,PORVENIR,Centolla XIV-XII,Tamaño Mínimo Legal (TML),Industrial
Magallanes,PORVENIR,Huepo VIII-XII,Vedas,Planta_Proceso
Metropolitana,PUDAHUEL,Congrio dorado Artesanal XIV-XII,Cuotas,Transportista
Magallanes,PORVENIR,Centolla XIV-XII,Vedas,Planta_Proceso
Magallanes,PUERTO NATALES,Congrio dorado Artesanal XIV-XII,Cuotas,Artesanal
Magallanes,PUERTO NATALES,Bacalao de profundidad Artesanal 47ºL.S.-XII,Acceso,Artesanal
Maule,ILOCA,Loco XV-XI,Cuotas,Artesanal
Metropolitana,PUDAHUEL,Merluza común Artesanal IV a 41 28.6 LS,Cuotas,Transportista
Metropolitana,PUDAHUEL,Choro XV-XII,Tamaño Mínimo Legal (TML),Comercializadora
Magallanes,PUERTO NATALES,Centolla y Centollón XIV-XII,Vedas,Transportista
Magallanes,PUERTO NATALES,Centolla y Centollón XIV-XII,Artes y Aparejos de Pesca,Artesanal
Maule,ILOCA,Merluza común Artesanal IV a 41 28.6 LS,Acceso,Transportista
Araucanía,TEMUCO,Pejerrey Chileno en Curso de Agua Dulce,Pescar sin lic,Recreativo
Magallanes,PUERTO NATALES,Centolla y Centollón XIV-XII,Acceso,Planta_Proceso
Magallanes,PUERTO NATALES,Congrio dorado Artesanal XIV-XII,Cuotas,Otros
Araucanía,TEMUCO,Especies Marinas,Pescar sin lic,Recreativo
Araucanía,TEMUCO,Anchoveta y Sardina Común Artesanal  V-X,Cuotas,Artesanal
Araucanía,TEMUCO,Jaibas XV-XII,Artes y Aparejos de Pesca,Artesanal
Magallanes,PUERTO NATALES,Centolla y Centollón XIV-XII,Tamaño Mínimo Legal (TML),Planta_Proceso
Araucanía,TEMUCO,Otros recursos con ARTE O APAREJO Regulado,Artes y Aparejos de Pesca,Artesanal
Magallanes,PUERTO NATALES,Centolla y Centollón XIV-XII,Acceso,Artesanal
Magallanes,PUERTO NATALES,Erizo XII,Acceso,Artesanal
Araucanía,TEMUCO,Especies Salmonideas Cuerpo de Agua Dulce,Acceso,Recreativo
Los_Lagos,MAULLIN,Macha XV-X,Vedas,Planta_Proceso
Los_Lagos,MAULLIN,Jaibas XV-XII,Tamaño Mínimo Legal (TML),Planta_Proceso
Araucanía,TEMUCO,Chorito XV-XII,Acceso,Comercializadora
Araucanía,TEMUCO,Reineta Artesanal XV-XI,Acceso,Artesanal
Magallanes,PUERTO NATALES,Erizo XII,Vedas,Planta_Proceso
Los_Lagos,MAULLIN,Erizo X-XI,Cuotas,Otros
Los_Lagos,MAULLIN,Macha XV-X,Vedas,Otros
Maule,ILOCA,Especies Marinas,Pescar sin lic,Recreativo
Los_Lagos,MAULLIN,Erizo X-XI,Acceso,Artesanal
Los_Lagos,MAULLIN,Erizo X-XI,Cuotas,Transportista
Maule,PELLUHUE,Merluza común Artesanal IV a 41 28.6 LS,Acceso,Artesanal
Maule,PELLUHUE,Erizo XV-XIV,Vedas,Artesanal
Maule,PELLUHUE,Algas pardas XV-X,Acceso,Artesanal
Los_Lagos,MAULLIN,Loco XV-XI,Vedas,Otros
Los_Lagos,MAULLIN,Erizo X-XI,Cuotas,Planta_Proceso
Maule,PELLUHUE,Loco XV-XI,Vedas,Restaurant
Los_Lagos,MAULLIN,Almeja XV-XII,Acceso,Artesanal
Maule,PELLUHUE,Pejerrey Chileno en Cuerpo de Agua Dulce,Pescar sin lic,Recreativo
Los_Lagos,MAULLIN,Loco XV-XI,Acceso,Planta_Proceso
Maule,PELLUHUE,Loco XV-XI,Vedas,Transportista
Metropolitana,PUDAHUEL,Jaibas XV-XII,Cuotas,Otros
Maule,PELLUHUE,Reineta Artesanal XV-XI,Acceso,Artesanal
Araucanía,TEMUCO,Peces nativos en Curso de Agua Dulce,Pescar incidentalmente peces nativos protegidos,Recreativo
Los_Lagos,MAULLIN,Macha XV-X,Acceso,Planta_Proceso
Metropolitana,PUDAHUEL,Merluza del Sur Artesanal X-XII,Cuotas,Transportista
Metropolitana,PUDAHUEL,Jibia XV-XII,Cuotas,Transportista
Maule,PELLUHUE,Loco XV-XI,Vedas,Comercializadora
Los_Lagos,MAULLIN,Erizo X-XI,Acceso,Planta_Proceso
Metropolitana,PUDAHUEL,Jurel Artesanal XV-X,Cuotas,Transportista
Maule,PELLUHUE,Loco XV-XI,Vedas,Artesanal
Metropolitana,PUDAHUEL,Pulpo XV-IV,Cuotas,Comercializadora
Los_Lagos,MAULLIN,Especies Marinas,Pescar sin lic,Recreativo
Metropolitana,PUDAHUEL,Especies Salmonideas Cuerpo de Agua Dulce,Pescar sin lic,Recreativo
Los_Lagos,MAULLIN,Loco XV-XI,Acceso,Artesanal
Los_Lagos,MAULLIN,Reineta Artesanal XV-XI,Acceso,Artesanal
Metropolitana,PUDAHUEL,Jaibas XV-XII,Vedas,Comercializadora
Los_Lagos,MAULLIN,Loco XV-XI,Cuotas,Transportista
Los_Lagos,MAULLIN,Erizo X-XI,Acceso,Transportista
Los_Lagos,MAULLIN,Jaibas XV-XII,Acceso,Planta_Proceso
Maule,PELLUHUE,Loco XV-XI,Cuotas,Artesanal
Los_Lagos,MAULLIN,Bacalao de profundidad Artesanal XV-47ºL.S.,Cuotas,Artesanal
Araucanía,TEMUCO,Merluza común Artesanal IV a 41 28.6 LS,Acceso,Transportista
Araucanía,TEMUCO,Otros recursos con restricción de ACCESO,Artes y Aparejos de Pesca,Artesanal
Maule,ILOCA,Cholga XV-XI,Vedas,Artesanal
Los_Lagos,MAULLIN,Jaibas XV-XII,Vedas,Planta_Proceso
Magallanes,PUERTO NATALES,Centolla y Centollón XIV-XII,Tamaño Mínimo Legal (TML),Industrial
Los_Lagos,MAULLIN,Loco XV-XI,Cuotas,Planta_Proceso
Los_Lagos,MAULLIN,Erizo X-XI,Tamaño Mínimo Legal (TML),Planta_Proceso
Los_Lagos,MAULLIN,Almeja XV-XII,Tamaño Mínimo Legal (TML),Artesanal
Araucanía,TEMUCO,Otros recursos con ARTE O APAREJO Regulado,Acceso,Artesanal
Maule,PELLUHUE,Especies Salmonideas Curso de Agua Dulce,Pescar sin lic,Recreativo
Araucanía,TEMUCO,Loco XV-XI,Tamaño Mínimo Legal (TML),Otros
Maule,PELLUHUE,Especies Marinas,Pescar sin lic,Recreativo
Los_Lagos,MAULLIN,Loco XV-XI,Vedas,Planta_Proceso
Araucanía,TEMUCO,Pejerrey Chileno en Cuerpo de Agua Dulce,Pescar sin lic,Recreativo
Los_Lagos,MAULLIN,Otros recursos con restricción de ACCESO,Acceso,Artesanal
Metropolitana,PUDAHUEL,Reineta Artesanal XV-XI,Cuotas,Transportista
Maule,PELLUHUE,Pejerrey Argentino en Cuerpo de Agua Dulce,Pescar sin lic,Recreativo
Metropolitana,PUDAHUEL,Congrio dorado Artesanal XIV-XII,Cuotas,Planta_Proceso
Los_Lagos,MAULLIN,Almeja XV-XII,Tamaño Mínimo Legal (TML),Planta_Proceso
Maule,PELLUHUE,Loco XV-XI,Vedas,Otros
Metropolitana,PUDAHUEL,Otros recursos con CUOTA,Cuotas,Comercializadora
Los_Lagos,MAULLIN,Reineta Artesanal XV-XI,Acceso,Otros
